county_fips,county_name,low_birth_weight_pct,uninsured_count,uninsured_chr_pct,primary_care_physicians_count,primary_care_physicians_rate,primary_care_physicians_ratio,mental_health_providers_count,mental_health_providers_rate,mental_health_providers_ratio,severe_housing_problems_pct,severe_housing_cost_burden_pct,children_in_poverty_pct,food_environment_index,broadband_access_pct,broadband_access_count,child_care_cost_burden_pct
28001,Adams,13,3158,15,22.0,77.0,1306:01:00,39.0,136.0,737:01:00,13,13,32,5.6,82,9452,27
28003,Alcorn,12,3772,14,15.0,44.0,2290:01:00,110.0,322.0,310:01:00,10,8,23,6.1,74,10586,25
28005,Amite,11,1409,15,2.0,16.0,6319:01:00,2.0,16.0,6221:01:00,11,9,29,5.9,66,3860,26
28007,Attala,14,1929,14,9.0,51.0,1971:01:00,9.0,52.0,1929:01:00,16,13,28,5.7,79,5085,24
28009,Benton,9,1072,18,1.0,13.0,7646:01:00,4.0,54.0,1860:01:00,11,9,30,5.7,62,1879,33
28011,Bolivar,14,3135,14,15.0,49.0,2021:01:00,27.0,93.0,1073:01:00,17,14,45,3.9,76,9063,30
28013,Calhoun,13,1710,17,2.0,15.0,6509:01:00,2.0,16.0,6343:01:00,11,7,26,7.0,77,4407,26
28015,Carroll,13,1011,15,2.0,20.0,4940:01:00,,,,7,5,24,5.0,69,2884,22
28017,Chickasaw,14,1888,14,10.0,59.0,1701:01:00,5.0,30.0,3373:01:00,15,13,26,6.4,73,4879,27
28019,Choctaw,12,773,13,1.0,12.0,8106:01:00,13.0,161.0,622:01:00,8,7,27,6.5,79,2725,24
28021,Claiborne,18,710,12,4.0,45.0,2227:01:00,6.0,70.0,1436:01:00,12,11,42,6.4,77,2195,42
28023,Clarke,12,1548,13,3.0,19.0,5140:01:00,8.0,53.0,1904:01:00,14,10,27,6.4,78,4853,25
28025,Clay,17,1762,12,7.0,38.0,2648:01:00,46.0,253.0,396:01:00,12,12,31,6.8,81,6292,23
28027,Coahoma,18,2248,14,9.0,43.0,2312:01:00,114.0,568.0,176:01:00,18,16,43,4.9,75,6383,34
28029,Copiah,14,2698,13,7.0,25.0,3999:01:00,19.0,69.0,1456:01:00,13,9,31,6.2,77,7613,32
28031,Covington,12,1893,13,8.0,44.0,2285:01:00,22.0,122.0,821:01:00,15,12,30,,62,4424,32
28033,DeSoto,10,17404,11,49.0,26.0,3850:01:00,277.0,143.0,698:01:00,13,10,12,7.4,92,63529,18
28035,Forrest,14,7273,12,68.0,87.0,1145:01:00,411.0,526.0,190:01:00,15,13,21,6.1,84,25114,29
28037,Franklin,13,812,14,1.0,13.0,7676:01:00,2.0,26.0,3805:01:00,10,9,25,5.1,82,2416,26
28039,George,8,2922,14,11.0,44.0,2251:01:00,14.0,55.0,1830:01:00,16,13,19,6.2,81,7402,19
28041,Greene,7,1024,12,1.0,7.0,13630:1,8.0,59.0,1700:01:00,11,7,25,6.7,71,2727,23
28043,Grenada,12,2312,14,8.0,37.0,2671:01:00,13.0,62.0,1620:01:00,16,14,29,6.7,80,6789,25
28045,Hancock,9,4443,12,20.0,43.0,2303:01:00,22.0,48.0,2098:01:00,14,11,20,5.9,85,16958,25
28047,Harrison,11,24109,14,117.0,56.0,1790:01:00,558.0,265.0,377:01:00,16,14,20,5.7,87,70745,27
28049,Hinds,15,21861,13,199.0,89.0,1119:01:00,938.0,437.0,229:01:00,18,15,30,6.4,88,79227,29
28051,Holmes,18,1649,14,9.0,55.0,1833:01:00,7.0,44.0,2254:01:00,22,20,46,4.2,66,3945,52
28053,Humphreys,19,880,15,4.0,53.0,1888:01:00,,,,17,16,47,5.1,65,1959,39
28055,Issaquena,23,126,23,0.0,0.0,1280:00:00,,,,12,7,63,4.8,48,181,33
28057,Itawamba,11,2477,13,4.0,17.0,5960:01:00,8.0,33.0,3012:01:00,8,6,17,7.2,80,7363,21
28059,Jackson,10,14870,13,66.0,46.0,2182:01:00,263.0,180.0,557:01:00,14,13,18,6.2,88,50072,23
28061,Jasper,14,1445,12,3.0,18.0,5430:01:00,3.0,19.0,5338:01:00,10,6,28,7.3,60,3841,26
28063,Jefferson,15,757,15,2.0,28.0,3603:01:00,9.0,130.0,771:01:00,7,5,40,6.0,87,2069,33
28065,Jefferson Davis,15,1111,14,3.0,27.0,3711:01:00,14.0,128.0,784:01:00,18,14,38,6.5,75,3301,31
28067,Jones,12,6909,13,33.0,49.0,2023:01:00,113.0,171.0,586:01:00,14,11,25,6.4,72,17605,24
28069,Kemper,14,741,13,1.0,11.0,8829:01:00,1.0,12.0,8584:01:00,20,12,36,4.9,72,2297,29
28071,Lafayette,8,6099,14,40.0,70.0,1422:01:00,413.0,706.0,142:01:00,18,17,15,6.3,90,16677,16
28073,Lamar,10,7190,13,81.0,124.0,807:01:00,39.0,59.0,1698:01:00,12,11,15,6.6,89,22199,24
28075,Lauderdale,14,7157,13,73.0,101.0,988:01:00,254.0,360.0,278:01:00,17,15,33,5.3,83,23668,23
28077,Lawrence,13,1237,13,2.0,17.0,5906:01:00,4.0,34.0,2935:01:00,18,10,26,6.0,69,2962,24
28079,Leake,11,2571,16,5.0,24.0,4239:01:00,2.0,9.0,10629:1,11,7,30,6.0,74,5445,25
28081,Lee,13,8957,13,98.0,118.0,846:01:00,710.0,857.0,117:01:00,14,11,18,7.3,83,26376,18
28083,Leflore,15,2596,12,22.0,80.0,1253:01:00,142.0,538.0,186:01:00,19,17,39,4.8,60,5946,36
28085,Lincoln,12,3896,14,14.0,40.0,2496:01:00,51.0,147.0,680:01:00,16,11,24,6.6,83,10752,23
28087,Lowndes,14,5114,11,28.0,48.0,2077:01:00,169.0,295.0,339:01:00,15,14,27,6.3,85,19429,22
28089,Madison,11,8899,10,142.0,129.0,773:01:00,292.0,260.0,385:01:00,12,10,13,8.2,92,39727,18
28091,Marion,13,2682,14,9.0,37.0,2709:01:00,21.0,87.0,1154:01:00,18,16,27,6.4,80,7354,26
28093,Marshall,11,3526,14,5.0,15.0,6745:01:00,12.0,35.0,2844:01:00,15,12,31,6.6,79,10095,30
28095,Monroe,15,3588,14,17.0,50.0,1993:01:00,9.0,27.0,3734:01:00,9,7,24,7.4,84,11546,24
28097,Montgomery,13,1137,16,5.0,51.0,1946:01:00,3.0,31.0,3200:01:00,21,17,33,6.1,73,2778,26
28099,Neshoba,9,3422,15,16.0,55.0,1812:01:00,40.0,139.0,720:01:00,15,9,28,6.4,78,8057,25
28101,Newton,12,2139,13,3.0,14.0,7019:01:00,6.0,29.0,3503:01:00,10,7,24,6.1,69,5337,25
28103,Noxubee,13,1229,16,1.0,10.0,10123:1,22.0,222.0,451:01:00,16,12,37,6.7,69,2599,33
28105,Oktibbeha,12,5094,13,21.0,41.0,2469:01:00,129.0,252.0,397:01:00,21,21,25,5.4,84,17825,24
28107,Panola,13,3718,14,7.0,21.0,4693:01:00,37.0,113.0,883:01:00,11,10,36,6.4,75,9313,26
28109,Pearl River,10,6850,15,14.0,25.0,4036:01:00,36.0,62.0,1611:01:00,12,9,23,6.7,83,17867,22
28111,Perry,8,1204,13,1.0,9.0,11571:1,10.0,88.0,1132:01:00,8,4,28,5.5,75,3407,34
28113,Pike,14,4491,15,15.0,38.0,2665:01:00,187.0,475.0,211:01:00,16,15,34,6.1,76,11504,29
28115,Pontotoc,10,3953,15,6.0,19.0,5241:01:00,13.0,41.0,2426:01:00,9,5,19,6.7,73,8582,23
28117,Prentiss,12,2486,13,8.0,32.0,3125:01:00,38.0,151.0,661:01:00,8,6,24,7.1,79,7367,24
28119,Quitman,17,668,15,,,,2.0,36.0,2773:01:00,17,14,46,0.4,67,1769,35
28121,Rankin,10,13924,11,89.0,56.0,1776:01:00,404.0,252.0,397:01:00,10,8,11,7.5,91,54537,21
28123,Scott,13,3472,15,5.0,18.0,5520:01:00,15.0,55.0,1834:01:00,12,10,28,5.6,75,7206,25
28125,Sharkey,15,358,14,1.0,27.0,3663:01:00,1.0,30.0,3336:01:00,11,6,52,6.5,57,791,33
28127,Simpson,12,2857,14,8.0,31.0,3219:01:00,32.0,124.0,804:01:00,11,8,28,7.0,77,7379,29
28129,Smith,11,1519,14,1.0,7.0,14191:1,2.0,14.0,7050:01:00,9,6,24,6.9,58,3127,23
28131,Stone,11,2173,15,6.0,32.0,3107:01:00,8.0,43.0,2345:01:00,15,11,22,5.6,79,5222,27
28133,Sunflower,15,2193,13,9.0,35.0,2822:01:00,9.0,37.0,2719:01:00,16,14,40,4.6,70,5672,28
28135,Tallahatchie,14,1138,14,1.0,8.0,12366:1,6.0,51.0,1973:01:00,12,10,40,4.1,67,2886,29
28137,Tate,10,2977,13,7.0,25.0,4033:01:00,13.0,46.0,2174:01:00,14,10,20,6.3,84,8970,25
28139,Tippah,10,2896,17,2.0,9.0,10818:1,28.0,132.0,760:01:00,14,10,26,6.9,80,6348,23
28141,Tishomingo,11,2422,17,5.0,27.0,3750:01:00,21.0,113.0,881:01:00,17,14,18,,74,6404,26
28143,Tunica,15,934,12,1.0,10.0,9696:01:00,3.0,32.0,3078:01:00,33,24,42,6.4,84,3011,39
28145,Union,10,3111,13,10.0,36.0,2795:01:00,12.0,42.0,2357:01:00,11,9,20,7.1,78,7759,22
28147,Walthall,11,1756,16,7.0,51.0,1977:01:00,1.0,7.0,13863:1,20,15,31,6.0,78,4229,25
28149,Warren,14,3946,12,29.0,67.0,1503:01:00,263.0,622.0,161:01:00,15,13,32,6.8,81,13558,21
28151,Washington,14,4648,14,18.0,41.0,2427:01:00,77.0,184.0,545:01:00,21,19,47,4.8,55,9522,31
28153,Wayne,14,2564,16,6.0,30.0,3285:01:00,13.0,66.0,1516:01:00,10,8,31,6.5,80,5965,27
28155,Webster,13,1154,14,4.0,40.0,2496:01:00,11.0,110.0,908:01:00,9,9,23,7.0,81,3304,22
28157,Wilkinson,14,701,13,3.0,36.0,2772:01:00,3.0,37.0,2686:01:00,11,11,37,6.5,73,2510,34
28159,Winston,13,1817,14,5.0,28.0,3519:01:00,35.0,201.0,498:01:00,14,12,42,5.8,76,5379,25
28161,Yalobusha,13,1103,12,1.0,8.0,12415:1,4.0,32.0,3097:01:00,12,8,28,6.5,76,3832,24
28163,Yazoo,15,2265,13,6.0,23.0,4396:01:00,55.0,213.0,469:01:00,15,12,34,4.6,74,6540,37
